Name
Academic Decathlon
Anime Club
Be a Leader
Best Buddies
Blank Canvas Art Club
Chess Club
Cyborg Club
Drama Club
Eco Club
Educators Rising
FBLA
Film Club
Gay Straight Alliance
Girls Varsity Soccer
Golf Club
Helping Hands
Hiking Club
HOSA-Future Health Professionals
Interact Club
Knight Readers Book Club
Knight Dancers
Literary Magazine
Mathletes (Math Club)
M.E.Ch.A.
Mock Trial
National Honor Society
Physics Club
Robotics Club
Science Club
Spanish Honor Society
STEM Club
Student Government
Unity Knights
Volleyball Club
Warriors Club
Weight Lifting Club
Yearbook
